date,rate
1995-07-04,6.242500
1995-07-05,6.268300
1995-07-06,6.263300
1995-07-07,6.237100
1995-07-10,6.165000
1995-07-11,6.107500
1995-07-12,6.120900
1995-07-13,6.097100
1995-07-14,6.028300
1995-07-17,6.045000
1995-07-18,5.989600
1995-07-19,6.041300
1995-07-20,6.079300
1995-07-21,6.158300
1995-07-24,6.098300
1995-07-25,6.105400
1995-07-26,6.150000
1995-07-27,6.120000
1995-07-28,6.088200
1995-07-31,6.105200
1995-08-01,6.114200
1995-08-02,6.129600
1995-08-03,6.114300
1995-08-04,6.125800
1995-08-07,6.152900
1995-08-08,6.129000
1995-08-09,6.146100
1995-08-10,6.138500
1995-08-11,6.145300
1995-08-14,6.140000
1995-08-15,6.142600
1995-08-16,6.154500
1995-08-17,6.167300
1995-08-18,6.185000
1995-08-21,6.265100
1995-08-22,6.227800
1995-08-23,6.215000
1995-08-24,6.305000
1995-08-25,6.316700
1995-08-28,6.334200
1995-08-29,6.324600
1995-08-30,6.311400
1995-08-31,6.280000
1995-09-04,6.276300
1995-09-05,6.245300
1995-09-06,6.233700
1995-09-07,6.264300
1995-09-08,6.256800
1995-09-11,6.275400
1995-09-12,6.288600
1995-09-13,6.285000
1995-09-14,6.274300
1995-09-15,6.277600
1995-09-18,6.275000
1995-09-19,6.287500
1995-09-20,6.305500
1995-09-21,6.329700
1995-09-22,6.312800
1995-09-25,6.368500
1995-09-26,6.391800
1995-09-27,6.387800
1995-09-28,6.419500
1995-09-29,6.404200
1995-10-02,6.384800
1995-10-03,6.434200
1995-10-04,6.588300
1995-10-05,6.542500
1995-10-06,6.542500
1995-10-09,6.540400
1995-10-10,6.574100
1995-10-11,6.813300
1995-10-12,6.746700
1995-10-13,6.704200
1995-10-16,6.748000
1995-10-17,6.750000
1995-10-18,6.760800
1995-10-19,6.706200
1995-10-20,6.690800
1995-10-23,6.669500
1995-10-24,6.703400
1995-10-25,6.760800
1995-10-26,6.800800
1995-10-27,7.166700
1995-10-30,7.171700
1995-10-31,6.934200
1995-11-01,7.147100
1995-11-03,7.403300
1995-11-06,7.685000
1995-11-07,7.348300
1995-11-08,7.516700
1995-11-09,7.820000
1995-11-10,8.138300
1995-11-13,7.665000
1995-11-14,7.872500
1995-11-15,8.095000
1995-11-16,7.900000
1995-11-17,7.800000
1995-11-21,7.750800
1995-11-22,7.706700
1995-11-23,7.724200
1995-11-24,7.635000
1995-11-27,7.696700
1995-11-28,7.678300
1995-11-29,7.651700
1995-11-30,7.477500
1995-12-01,7.546700
1995-12-04,7.576700
1995-12-05,7.616700
1995-12-06,7.670800
1995-12-07,7.671300
1995-12-08,7.708300
1995-12-11,7.790000
1995-12-13,7.750400
1995-12-14,7.795000
1995-12-15,7.819200
1995-12-18,7.769600
1995-12-19,7.758800
1995-12-20,7.680900
1995-12-21,7.550000
1995-12-22,7.585800
1995-12-26,7.570800
1995-12-27,7.553300
1995-12-28,7.642500
1995-12-29,7.684200
1996-01-02,7.739600
1996-01-03,7.695800
1996-01-04,7.559600
1996-01-05,7.570000
1996-01-08,7.567500
1996-01-09,7.538800
1996-01-10,7.477900
1996-01-11,7.518800
1996-01-12,7.521300
1996-01-15,7.467900
1996-01-16,7.524600
1996-01-17,7.525400
1996-01-18,7.510000
1996-01-19,7.466700
1996-01-22,7.429600
1996-01-23,7.312300
1996-01-24,7.360800
1996-01-25,7.421500
1996-01-26,7.386700
1996-01-29,7.434900
1996-01-30,7.390800
1996-01-31,7.369900
1996-02-01,7.421200
1996-02-02,7.417000
1996-02-06,7.424100
1996-02-07,7.482100
1996-02-08,7.480000
1996-02-09,7.486300
1996-02-12,7.492900
1996-02-13,7.527900
1996-02-14,7.568800
1996-02-15,7.529800
1996-02-16,7.500800
1996-02-19,7.544600
1996-02-20,7.545800
1996-02-21,7.578500
1996-02-22,7.538100
1996-02-23,7.547700
1996-02-26,7.533100
1996-02-27,7.557100
1996-02-28,7.539000
1996-02-29,7.557300
1996-03-01,7.629600
1996-03-04,7.589100
1996-03-05,7.574700
1996-03-06,7.586300
1996-03-07,7.595200
1996-03-08,7.571300
1996-03-11,7.589300
1996-03-12,7.623700
1996-03-13,7.604500
1996-03-14,7.589300
1996-03-15,7.561600
1996-03-18,7.576200
1996-03-19,7.556100
1996-03-20,7.524200
1996-03-22,7.543200
1996-03-25,7.560000
1996-03-26,7.548400
1996-03-27,7.543700
1996-03-28,7.547900
1996-03-29,7.552600
1996-04-01,7.537500
1996-04-02,7.512700
1996-04-03,7.511000
1996-04-08,7.518100
1996-04-09,7.572500
1996-04-10,7.536600
1996-04-11,7.495000
1996-04-12,7.499000
